,ID
0,1385536554894958600
1,1385536548758646784
2,1385536543931072516
3,1385536539434921985
4,1385536528009502724
5,1385536524205264898
6,1385536511899324417
7,1385536509810405379
8,1385536507155415043
9,1385536505343619083
10,1385536503921537026
11,1385536496245960704
12,1385536494148800512
13,1385536487479906307
14,1385536473206640642
15,1385536471814139906
16,1385536471541731330
17,1385536468265803776
18,1385536460930039812
19,1385536455292899330
20,1385536453904674818
21,1385536449672400905
22,1385536440507973632
23,1385536439019085828
24,1385536432140324865
25,1385536430886121477
26,1385536424234074113
27,1385536422245982208
28,1385536420912193540
29,1385536418995392513
30,1385536418642948102
31,1385536418592673792
32,1385536418571702282
33,1385536416239652869
34,1385536412439650310
35,1385536392722255872
36,1385536392550301696
37,1385536386233602049
38,1385536379522666499
39,1385536378235203584
40,1385536376683130880
41,1385536369783500800
42,1385536369494269955
43,1385536362842103810
44,1385536362674278402
45,1385536361063616513
46,1385536359679463427
47,1385536356709920772
48,1385536354621087749
49,1385536353350336512
50,1385536353052594176
51,1385536351437787137
52,1385536351395737603
53,1385536345884536834
54,1385536338053668865
55,1385536330864619527
56,1385536325751767042
57,1385536311415779328
58,1385536308651577347
59,1385536306982408192
60,1385536297045958657
61,1385536285033463810
62,1385536283389304835
63,1385536274140782592
64,1385536272630902784
65,1385536272320581635
66,1385536259360137217
67,1385536243140751369
68,1385536242100494338
69,1385536228011909121
70,1385536223964393472
71,1385536217068961792
72,1385536213210238978
73,1385536212564418568
74,1385536210337247235
75,1385536205501210625
76,1385536200308559875
77,1385536194683883520
78,1385536193971040258
79,1385536191110410240
80,1385536185875980294
81,1385536171619491849
82,1385536160416641024
83,1385536157652422656
84,1385536157241548800
85,1385536151159640066
86,1385536142007705600
87,1385536141068148738
88,1385536138874478593
89,1385536136597094406
90,1385536133539373057
91,1385536131417075715
92,1385536116065853440
93,1385536115533254664
94,1385536112525938688
95,1385536109074173952
96,1385536108713312263
97,1385536107224338435
98,1385536092644904964
99,1385536091638296577
100,1385536091185467392
101,1385536090396835843
102,1385536088840851461
103,1385536088727461888
104,1385536083937488901
105,1385536072529162240
106,1385536069802811393
107,1385536062194216960
108,1385536039746408449
109,1385536039549239297
110,1385536038735548417
111,1385536038576197635
112,1385536034293702658
113,1385536030208495616
114,1385536029810167812
115,1385536029394759683
116,1385536019567628288
117,1385536019227885568
118,1385536005567037443
119,1385535999405592579
120,1385535990861795330
121,1385535989733634048
122,1385535986290106371
123,1385535984155217923
124,1385535978211794946
125,1385535973174378496
126,1385535973027504136
127,1385535971509239813
128,1385535971471478789
129,1385535969437257729
130,1385535967453450242
131,1385535961140891652
132,1385535957173112834
133,1385535948109369345
134,1385535944174960642
135,1385535925988597763
136,1385535925157990401
137,1385535924419776514
138,1385535924134678528
139,1385535921081110529
140,1385535918594039809
141,1385535917008375808
142,1385535913220923394
143,1385535910389846027
144,1385535909601308676
145,1385535900315049987
146,1385535897735630848
147,1385535896590721026
148,1385535888306970627
149,1385535887166119942
150,1385535885584867329
151,1385535884431224834
152,1385535884146225155
153,1385535876709588993
154,1385535870212657156
155,1385535867033473026
156,1385535863493431299
157,1385535861312266240
158,1385535858690953219
159,1385535857482813446
160,1385535852583874561
161,1385535849715093507
162,1385535841829748739
163,1385535841540493315
164,1385535839426400263
165,1385535831780347904
166,1385535829074870275
167,1385535826914791427
168,1385535823794216969
169,1385535805742010368
170,1385535804500373504
171,1385535802646482950
172,1385535802533421056
173,1385535799165296640
174,1385535777803808775
175,1385535771285860354
176,1385535770698649600
177,1385535763752706048
178,1385535762138112003
179,1385535750226206720
180,1385535745549422593
181,1385535724578033664
182,1385535723814592515
183,1385535722552119297
184,1385535716550221832
185,1385535711382630400
186,1385535707461021697
187,1385535689857458178
188,1385535688209174534
189,1385535687957651457
190,1385535686254673921
191,1385535684635766788
192,1385535674611163140
193,1385535670584709120
194,1385535669297156098
195,1385535668865179651
196,1385535659390115844
197,1385535659146895364
198,1385535658412765190
199,1385535658299645956
200,1385535639647567874
201,1385535634358431744
202,1385535634048118787
203,1385535632051683330
204,1385535620789903360
205,1385535613001031681
206,1385535607317934082
207,1385535605682040839
208,1385535604713218049
209,1385535599445225473
210,1385535567853547522
211,1385535567660601346
212,1385535552594788362
213,1385535549834883074
214,1385535544243867651
215,1385535534672617475
216,1385535533506600964
217,1385535522190278658
218,1385535521456197643
219,1385535515101831169
220,1385535514816573441
221,1385535501185155074
222,1385535500220469249
223,1385535491605291008
224,1385535486983352325
225,1385535479563440130
226,1385535465831366659
227,1385535457430183937
228,1385535453508550658
229,1385535443354013699
230,1385535432805339136
231,1385535430196699140
232,1385535422885994497
233,1385535419303882754
234,1385535417202581512
235,1385535415621357568
236,1385535411943055363
237,1385535401943838722
238,1385535393634807808
239,1385535380074549251
240,1385535374278025218
241,1385535365847584768
242,1385535359472177153
243,1385535355579949059
244,1385535354589962240
245,1385535351561785345
246,1385535350374768645
247,1385535345408704512
248,1385535344930660355
249,1385535335711444994
250,1385535327503331330
251,1385535324462501893
252,1385535323011121155
253,1385535312126959619
254,1385535308855349248
255,1385535305910915072
256,1385535298919026689
257,1385535296905826306
258,1385535284285120516
259,1385535272373288983
260,1385535270490152962
261,1385535253389795333
262,1385535251619876866
263,1385535248860008450
264,1385535244116316167
265,1385535237686321153
266,1385535232955330560
267,1385535218958938118
268,1385535208062164993
269,1385535198515789825
270,1385535196334759938
271,1385535196020178948
272,1385535193755291649
273,1385535192744538112
274,1385535190152384513
275,1385535187929419776
276,1385535184385101826
277,1385535183865081859
278,1385535181017157633
279,1385535176357269511
280,1385535175321346050
281,1385535175048658946
282,1385535167507230721
283,1385535166832021504
284,1385535166681059330
285,1385535166311931910
286,1385535161559785479
287,1385535141968183297
288,1385535133248278530
289,1385535122691088384
290,1385535120879194118
291,1385535117934796800
292,1385535098691465220
293,1385535088335605760
294,1385535085756092417
295,1385535066114183176
296,1385535064079880192
297,1385535059814461440
298,1385535049273987073
299,1385535044979023878
300,1385535041590104065
301,1385535039589416965
302,1385535016013373441
303,1385535015660843011
304,1385534999219236864
305,1385534994139942916
306,1385534988687331329
307,1385534977467731971
308,1385534976955871232
309,1385534974149873667
310,1385534974007255047
311,1385534972237254656
312,1385534971541004288
313,1385534970450481154
314,1385534970190393346
315,1385534963731238917
316,1385534949588193283
317,1385534946991771650
318,1385534941505761287
