,ID
0,1385523951074381824
1,1385523948062973956
2,1385523944908804097
3,1385523943172280321
4,1385523930694258688
5,1385523929209573382
6,1385523913938120705
7,1385523912985903107
8,1385523907482951685
9,1385523904102420480
10,1385523898599477248
11,1385523895843934209
12,1385523878781349889
13,1385523878307373056
14,1385523875753172994
15,1385523868882800644
16,1385523866647339008
17,1385523862637453312
18,1385523859122638850
19,1385523853934223362
20,1385523848863309834
21,1385523842202832896
22,1385523840491524100
23,1385523821734555653
24,1385523810762252291
25,1385523809428508672
26,1385523792181489666
27,1385523790503890945
28,1385523785302827010
29,1385523771558088712
30,1385523769129807872
31,1385523768748032002
32,1385523763647746049
33,1385523763521806337
34,1385523751631036418
35,1385523745930891264
36,1385523740306456577
37,1385523739731763200
38,1385523736434991106
39,1385523719871811588
40,1385523717699039234
41,1385523707645337601
42,1385523703853699073
43,1385523702759006209
44,1385523696740175875
45,1385523681783291908
46,1385523675982483458
47,1385523671708614659
48,1385523665932984322
49,1385523657603092484
50,1385523653954080770
51,1385523651185844227
52,1385523645271797761
53,1385523644215005197
54,1385523643464261632
55,1385523634656083971
56,1385523630654771200
57,1385523628226359296
58,1385523625323765760
59,1385523625072242690
60,1385523618621259780
61,1385523610232754177
62,1385523603098112003
63,1385523602439557121
64,1385523591119204353
65,1385523586849443841
66,1385523584307589124
67,1385523576787415040
68,1385523567102554119
69,1385523565622042626
70,1385523557292154882
71,1385523553475301379
72,1385523550157787143
73,1385523543316869123
74,1385523531786592262
75,1385523528087207936
76,1385523527218917377
77,1385523520776642560
78,1385523520164089856
79,1385523519799234560
80,1385523489692553216
81,1385523486664400896
82,1385523482381852675
83,1385523471174746112
84,1385523463977373698
85,1385523461972381697
86,1385523454670082051
87,1385523448265465856
88,1385523444708749316
89,1385523430901092352
90,1385523427021316098
91,1385523410269257728
92,1385523409342324736
93,1385523401737965569
94,1385523392011403267
95,1385523390757343236
96,1385523368158535681
97,1385523365931208714
98,1385523364794707970
99,1385523361342656514
100,1385523360969465856
101,1385523343550345219
102,1385523341621088256
103,1385523333706391553
104,1385523317562494977
105,1385523312307015682
106,1385523312306974723
107,1385523302622498817
108,1385523302622453761
109,1385523290203058178
110,1385523282737311747
111,1385523279528611850
112,1385523277095899140
113,1385523275292311557
114,1385523266517803010
115,1385523265662300160
116,1385523262952677380
117,1385523252957618176
118,1385523251779182592
119,1385523247257559041
120,1385523242761220098
121,1385523232762122240
122,1385523228655955973
123,1385523227796156416
124,1385523222716817411
125,1385523220145606658
126,1385523200608583686
127,1385523196259045380
128,1385523193281122305
129,1385523192459001859
130,1385523187765633025
131,1385523183634194433
132,1385523183516717058
133,1385523173232369664
134,1385523158493450240
135,1385523149874159616
136,1385523146522914817
137,1385523141603205121
138,1385523131977146368
